서울특별시 동대문구 장안제1동(1123065000),38399,38399,2480,2629,5279,6317,6248,6020,5470,2848,972,127,9,19106,19106,1290,1350,2497,3269,3253,3000,2640,1375,390,41,1,19293,19293,1190,1279,2782,3048,2995,3020,2830,1473,582,86,8
서울특별시 동대문구 장안제2동(1123066000),32652,32652,2794,2804,3834,5004,5775,4929,4335,2276,787,106,8,16322,16322,1433,1510,1971,2513,2945,2468,2074,1076,303,25,4,16330,16330,1361,1294,1863,2491,2830,2461,2261,1200,484,81,4
서울특별시 동대문구 청량리동(1123070500),19158,19158,742,1075,2240,2155,2418,3330,3754,2322,987,131,4,9577,9577,382,556,1195,1178,1260,1694,1862,1038,373,39,0,9581,9581,360,519,1045,977,1158,1636,1892,1284,614,92,4
서울특별시 동대문구 회기동(1123071000),10390,10390,428,708,3214,1479,1290,1231,964,678,346,51,1,4970,4970,226,336,1519,780,636,629,418,284,127,14,1,5420,5420,202,372,1695,699,654,602,546,394,219,37,0
서울특별시 동대문구 휘경제1동(1123072000),13703,13703,794,806,3428,2137,1685,1935,1522,934,403,56,3,6569,6569,406,396,1479,1111,870,959,749,406,178,14,1,7134,7134,388,410,1949,1026,815,976,773,528,225,42,2
서울특별시 동대문구 휘경제2동(1123073000),24102,24102,1215,2050,5310,2968,3475,3514,2959,1792,716,100,3,11990,11990,639,978,2830,1578,1708,1742,1413,802,260,39,1,12112,12112,576,1072,2480,1390,1767,1772,1546,990,456,61,2
서울특별시 동대문구 이문제1동(1123074000),18013,18013,677,1261,4661,2140,2331,2567,2141,1463,679,88,5,8986,8986,337,641,2313,1214,1194,1345,1001,631,286,23,1,9027,9027,340,620,2348,926,1137,1222,1140,832,393,65,4
서울특별시 동대문구 이문제2동(1123075000),20210,20210,1244,1782,2802,2454,3172,3372,2763,1832,694,88,7,9788,9788,639,885,1344,1213,1596,1693,1303,810,282,19,4,10422,10422,605,897,1458,1241,1576,1679,1460,1022,412,69,3
서울특별시 중랑구 (1126000000),391502,391502,22289,26154,55811,57337,56929,68616,59389,31248,11996,1626,107,193444,193444,11520,13270,27613,29558,29402,33879,28836,14280,4699,359,28,198058,198058,10769,12884,28198,27779,27527,34737,30553,16968,7297,1267,79
서울특별시 중랑구 면목제2동(1126052000),24667,24667,1224,1563,3359,3261,3659,4865,3766,2071,769,120,10,12291,12291,623,767,1666,1727,1935,2481,1834,935,293,29,1,12376,12376,601,796,1693,1534,1724,2384,1932,1136,476,91,9
서울특별시 중랑구 면목제4동(1126054000),19189,19189,1066,1201,2525,2730,2982,3299,2948,1814,549,71,4,9550,9550,559,620,1300,1419,1586,1662,1374,797,212,20,1,9639,9639,507,581,1225,1311,1396,1637,1574,1017,337,51,3
서울특별시 중랑구 면목제5동(1126055000),14634,14634,1323,883,1778,2692,2222,2470,1912,967,354,32,1,7386,7386,658,455,903,1370,1211,1249,949,446,135,9,1,7248,7248,665,428,875,1322,1011,1221,963,521,219,23,0
서울특별시 중랑구 면목본동(1126056500),34230,34230,1518,1902,5404,5274,4979,6263,5009,2774,997,107,3,16993,16993,776,932,2725,2776,2613,3112,2435,1207,397,19,1,17237,17237,742,970,2679,2498,2366,3151,2574,1567,600,88,2
서울특별시 중랑구 면목제7동(1126057000),22120,22120,1169,1232,3075,3352,3154,3847,3592,1929,675,94,1,11117,11117,644,644,1562,1727,1676,1894,1762,924,266,18,0,11003,11003,525,588,1513,1625,1478,1953,1830,1005,409,76,1
서울특별시 중랑구 면목제3.8동(1126057500),25321,25321,1095,1461,3801,3546,3474,4657,4088,2263,825,108,3,12593,12593,558,754,1917,1902,1815,2275,1975,1026,338,32,1,12728,12728,537,707,1884,1644,1659,2382,2113,1237,487,76,2
